,User,Tweet
0,Poornim21653891,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
1,Satya79735507,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
2,DevdattaTemkar,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
3,TheAstropods,"@veritasium generally don't like bright red, too harsh on the eyes! definitely the one currently on the video"
4,TheAstropods,@veritasium knowing it was made by veritasium is enough for me!
5,Varun72207526,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
6,Satchidanand01,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
7,sonal_lahoti,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
8,HarshAgr73,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
9,Chitrad85075727,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
10,gundla_abhishek,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
11,HenryNarwil,@sathishmsk @sundarpichai @LeoDiCaprio @veritasium @BillGates Bravo
12,Dhunni8,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
13,Dhunni8,"@sathishmsk @MaaBiksha @sundarpichai @LeoDiCaprio @veritasium @BillGates Absolutely !The time for changing light bulbs is truly gone as we could possibly face Famines, Droughts in about 10 years- maybe even lesser! Govts nd World Bodies must make specific, decisive Laws to turn Agricultural Lands around  #SaveSoil."
14,PRaghubalan,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
15,SaiRam53534452,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
16,MaaBiksha,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
17,anjalidevi_t,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
18,YogaGowrish,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
19,IshaPhilly,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
20,gekmensen,"RT @DattuClay: Boring is good.
Once in a while switch off your router.
Leave your mobile behind and Go for a walk.
Set no screen time.
Let…"
21,DattuClay,"Boring is good.
Once in a while switch off your router.
Leave your mobile behind and Go for a walk.
Set no screen time.
Let the thoughts go in flow. 
Lets face boredom once in a while instead of avoiding it. 
Alternatively you can try digital detox. 
Credits to @veritasium https://t.co/2s0qo8wJQ1"
22,PGanapathi1012,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
23,damianrobinson_,"@veritasium How is light bending around the Earth? I’ve heard this said before, but … if it’s bending around the planet due to gravity, why does it seem to stop at halfway around leaving one side of the planet in darkness? Wouldn’t it continue around at least a bit???"
24,kumbarnaveen1,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
25,p_mukesh175,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
26,vishi_wish,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
27,I_am_AravindV,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
28,AnanthKunar1,@sathishmsk @sundarpichai @LeoDiCaprio @veritasium @BillGates https://t.co/bWnRLqRFql
29,AnanthKunar1,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
30,NarkarDhiraj,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
31,ArulmozhiSenth2,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
32,Prabhu45819163,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
33,Karpaga41236746,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
34,dhanasekarrd,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
35,Saravan69547929,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
36,HarishKS2002,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
37,Vinothkumarisha,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
38,muruges42555743,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
39,Deepala70774187,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
40,Gnanase26074310,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
41,jagada1982,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
42,CvaBalaji,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
43,Karthik27552212,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
44,SelviPrakash69,"@sathishmsk @sundarpichai @LeoDiCaprio @veritasium @BillGates #SavesoilAtUNCCD
https://t.co/TaDEHQlASH"
45,SelviPrakash69,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
46,Amudha65,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
47,JOeMIr8K4Ai5kxg,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
48,manjudevi_n,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
49,Ajaij,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
50,Praveen82433696,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
51,sumathi_isha72,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
52,manchuparkavi,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
53,lucaberta,RT @PullNews: How the @ipcc lies about climate change: a detailed critique of the false claims in the AR6 Summary for Policymakers by @Clin…
54,zestvk,Still my favorite channels! @OrdinaryGamers @jakerawr @austinmcconnell @veritasium https://t.co/GGFoQFNDyL
55,PullNews,"How the @ipcc lies about climate change: a detailed critique of the false claims in the AR6 Summary for Policymakers by @ClintelOrg
https://t.co/h0oh3t6Jvf 
@DrJoeHanson @neiltyson @veritasium @johnkerry @stevennovella @rustyrockets @robinhanson @alexandersoros"
56,SVellaisam,"@sathishmsk @sundarpichai @LeoDiCaprio @veritasium @BillGates NAMASKARAM SADHGURU SARANAM
#savesoil 
🙏🌹🙏🌹🙏🌹🙏🌹🙏🌹🙏🌹🙏🌹"
57,SVellaisam,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
58,gourav66638,"@sathishmsk @sundarpichai @LeoDiCaprio @veritasium @BillGates Savesoil awareness 🌱🌱
Let's make it happen 🙏🙏
#SaveSoil"
59,BaskarPauldura1,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
60,ranajadla,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
61,RevathyPurusho2,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
62,Krishna93389816,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
63,Rajarathinam_77,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
64,dinkanth,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
65,desisciencepage,"2. The Science of Thinking 
(by @veritasium) 

How the brain works, how we learn, and why we sometimes make stupid mistakes. 

https://t.co/bMJ52sqDbN https://t.co/oajDo9eQwC"
66,DMKiaran,"@veritasium As an aerospace engineer, I highly recommend a video regarding this question. I'd like to hear your take, Derek. https://t.co/DZNY0WPSyN"
67,imthoe,@LiamBedfordYT @max_fosh @veritasium made a great video about this! He changed titles of older videos and experienced quite the improvements https://t.co/dudmGPHUk2
68,sodheesh,RT @sathishmsk: Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone bey…
69,MicahGoldrich,"@NAChristakis @veritasium made two great videos about analog computers. Truly mind blowing, and what is interesting is how approaches once thought to be obsolete are revived to address new needs."
70,Bitcoinning,@tylerfleisch @veritasium 2 for sure
71,sathishmsk,Watch @sundarpichai @LeoDiCaprio @veritasium @BillGates talk about climate change and its need of the hour. It has gone beyond hands of individual to changing government policies to bring about actual change. Join #SaveSoil movement to support this cause. https://t.co/jWKnipkyXN https://t.co/iuDp28oSDJ
72,wannab3MVP,"@tylerfleisch @veritasium Tyler telling me I'm a yt genius, me who's just an avid veritasium fan"
73,Ashnation_,"RT @mohakmangal: While struggling with COVID over the last few days, binge-watched YouTube to help me with my recovery. Perhaps 12 hours ev…"
74,liam081963,"RT @funfactscience: If you'd like to follow some REALLY AMAZING science accounts, here are some recommendations: @Sydonahi @AstroKirsten @a…"
75,39Magilla,"@NinadNimkar @engineers_feed @veritasium Towed sonar arrays for sub and mine hunting or treasure hunting?  Very cool.

I used both optical and strain gauge torsion-meters for evaluating ship propulsion systems.  The optical system measured the twist angle very precisely.

How did you calibrate your strain gage? https://t.co/SJ2eCvXGwX"
76,joincoinsider,@tylerfleisch @veritasium Pretty confident about 2
77,alistar_space,"@veritasium 

3x + 1

it seems to me that once the arithmetic operation produces an exponential of 2 that is where it leads to the 1 sequence."
78,NinadNimkar,"@39Magilla @engineers_feed @veritasium I'm a new graduate, so not many lol.

My capstone project however was a tension measuring device for the ropes of towed sonar arrays.Strain gages + wheatstone bridge for the electrical signal
It sounds simple, but the rope is in extremely high tension: it'll destroy most things"
79,39Magilla,"@NinadNimkar @engineers_feed @veritasium What type of machines do you work on?

Excavators? Gas Turbines? Gearboxes? Airplanes? Helicopters? 

I love machines."
80,KI__twt,@tylerfleisch @veritasium (1st Thumbnail had great potential if he add action and intensity towards it) (but 2nd has higher ctr)
81,KI__twt,"@tylerfleisch @veritasium 1.Thumbnail&gt;Title (which even though you can clearly notice it easier than the 2nd one thumbnail wise but wasn't enough action to fit with the title.)
2. Better Title+Better Thumbnail (I would possibly make earth a bit bigger and brighten it, but adds action and intensity)"
82,addisoneverettx,@tylerfleisch @veritasium 1 for simplicity. Love these polls haha
83,schalkneethling,"Why Are 96,000,000 Black Balls on This Reservoir? https://t.co/7vklfKyAIw via @veritasium"
84,AddictAdam,@tylerfleisch @veritasium The second one I think
85,NinadNimkar,"@39Magilla @engineers_feed @veritasium Dude, I joking gave this veritassium video question. 

I'm a MECHANICAL engineer, i wouldn't understand that electronics forum anyways.

Its like forcing dentists to talk about neurology, thats not what they do."
86,sobadventure,"@tylerfleisch @veritasium Two – conveys more danger, looks like an end of the world, the vectors and letters give context to the thumbnail and the title is more extreme and conveys more intense emotions. I could go to sleep after seeing the first pair, but I couldn't sleep until I clicked on second pair."
87,39Magilla,"@NinadNimkar @engineers_feed @veritasium The problem is actually more complex than your discussion.  It is discussed at length here.

https://t.co/cnT9pBu9Xz

The transmission of a small amount of energy will occur in (1m/c) via capacitance and inductance."
88,NinadNimkar,"@39Magilla @engineers_feed @veritasium Lol I'm a mechanical engineer, I have no attachment and nearly no authority in this topic

Like i said, i thought its like water pipes...i recently learned about the fields and that the capacitance of wires isn't negligible in this response video 
https://t.co/ntit9n59CI"
89,39Magilla,"@NinadNimkar @engineers_feed @veritasium The problem is actually more complex than your discussion.  It is discussed at length here.

https://t.co/cnT9pBu9Xz

The transmission of a small transient amount of energy will occur in (1m/c) via capacitance and inductance."
90,Chloeeeee_space,@veritasium hey do you know if I can buy this lamp ? https://t.co/Pw7ByWHBGt
91,39Magilla,"@NinadNimkar @engineers_feed @veritasium Why do you believe that the answer is related to the speed of light in a vacuum, and not the speed of electromagnetic waves in your conductor?

What electromagnetic wave propagates through the vacuum to light the light bulb?

Are you attached to your idea?"
92,RileyCardwell,@tylerfleisch @veritasium 1
93,BenHedges__,@tylerfleisch @veritasium Definitely 2 number 1 kinda just confused me
94,datta_nishith,@tylerfleisch @veritasium 2 nd one
95,MckoyyMC,@tylerfleisch @veritasium 1 since colors
96,fajrulfx_,@tylerfleisch @veritasium Number 2 is more clickable for me
97,zsomtor,@tylerfleisch @veritasium i vote for 1
98,tylerfleisch,"Which @veritasium thumbnail do you think had the higher click-through rate?
Titles
1. How Distant Galaxies Mess With Our Lives
2. The Universe Is Hostile To Computers https://t.co/QEtdE0dB5S"
99,NinadNimkar,"@39Magilla @engineers_feed @veritasium 1/c is the answer
Ofc it cant be measured as information can only be sent at c.

Non electric engs think electricity flows like water in a pipe, and the water(electrons) turns on the bulb. 

Irl electrons barely move, it's actually the electric field."
100,NinadNimkar,"@39Magilla @engineers_feed @veritasium Lol ofc this isn't real or measureable, I'm a mech eng and even i understand this.
Its just a thought experiment 

In the veritassium video he gave those assumptions for the wires &amp; bulbs."
101,39Magilla,@NinadNimkar @engineers_feed @veritasium https://t.co/W3TjuKkltY.
